cabang,nobukti,det_id,produk_id,produk_kode_api,produk_nama_api,produk_kode_db,produk_nama_db,afkir,qty_beli,qty_diterima,subtotal_rp,subtotal_net_rp,status,catatan
5,KRT/PB/2604-0117,11902,4619,NP052,NIPPON SPOT LESS PLUS TINT BASE 0.828L,NP052,NIPPON SPOT LESS PLUS TINT BASE 0.828L,,12.0,12.0,1345080.0,1345080.0,OK,
5,KRT/PB/2604-0117,11903,4620,NP051,NIPPON SPOT LESS PLUS DEEP BASE 0.81L,NP051,NIPPON SPOT LESS PLUS DEEP BASE 0.81L,,12.0,12.0,1286592.0,1286592.0,OK,
5,KRT/PB/2604-0117,11904,4621,NP049,NIPPON SPOT LESS PLUS ACCENT BASE 0.774L,NP049,NIPPON SPOT LESS PLUS ACCENT BASE 0.774L,,12.0,12.0,1240308.0,1240308.0,OK,
5,KRT/PB/2604-0118,11905,4157,NP114,PLATONE 8000 0.9L,NP114,PLATONE 8000 0.9L,,72.0,72.0,4441464.0,4441464.0,OK,
5,KRT/PB/2604-0119,11906,5197,NP102,MATEX READY MIX 4.5L,NP102,MATEX READY MIX 4.5L,,64.0,64.0,7397376.0,7397376.0,OK,
5,KRT/PB/2604-0120,11907,337,NP140,PILOX NIPPON,NP140,PILOX NIPPON,,9.0,9.0,238734.0,238734.0,OK,
5,KRT/PB/2604-0121,11908,333,NP020,BODELAC 3.75L,NP020,BODELAC 3.75L,,36.0,36.0,8572680.0,8572680.0,OK,
5,KRT/PB/2604-0122,11909,5221,NP130,KOMILEX READY MIX 4.5KG,NP130,KOMILEX READY MIX 4.5KG,,10.0,10.0,714070.0,714070.0,OK,
5,KRT/PB/2604-0123,11910,9916,NP241,MATEX READY MIX 1KG,NP241,MATEX READY MIX 1KG,,132.0,132.0,5025504.0,5025504.0,OK,
5,KRT/PB/2604-0124,11911,9920,NP243,PLATONE 8000 0.2L,NP243,PLATONE 8000 0.2L,,84.0,84.0,1374156.0,1374156.0,OK,
5,KRT/PB/2604-0124,11912,4157,NP114,PLATONE 8000 0.9L,NP114,PLATONE 8000 0.9L,,36.0,36.0,2239200.0,2239200.0,OK,
5,KRT/PB/2604-0237,11913,161,PRN010,"PARALON MOF 3"" D",PRN010,"PARALON MOF 3"" D",,200.0,200.0,11241600.0,11241600.0,OK,
5,KRT/PB/2604-0237,11914,150,PRN021,"PARALON MOF 1/2"" AW",PRN021,"PARALON MOF 1/2"" AW",,1200.0,1200.0,13390800.0,13390800.0,OK,
5,KRT/PB/2604-0237,11915,165,PRN006,"PARALON MOF 5"" D",PRN006,"PARALON MOF 5"" D",,20.0,20.0,2639860.0,2639860.0,OK,
